video,status,original_fps,target_fps,total_frames,duration_seconds,saved_frames
trial_lie_001.mp4,success,29.97,5,510,17.017017017017018,85
trial_lie_002.mp4,success,29.97,5,1874,62.5291958625292,313
trial_lie_003.mp4,success,29.97,5,212,7.073740407073741,36
trial_lie_004.mp4,success,29.97,5,349,11.644978311644978,59
trial_lie_005.mp4,success,29.97,5,1602,53.453453453453456,267
trial_lie_006.mp4,success,29.97,5,546,18.21821821821822,91
trial_lie_007.mp4,success,29.97,5,1403,46.81348014681348,234
trial_lie_008.mp4,success,29.97,5,219,7.307307307307307,37
trial_lie_009.mp4,success,29.97,5,619,20.65398732065399,104
trial_lie_010.mp4,success,29.97,5,876,29.22922922922923,146
trial_lie_011.mp4,success,29.97,5,1010,33.70036703370037,169
trial_lie_012.mp4,success,29.97,5,237,7.907907907907909,40
trial_lie_013.mp4,success,29.97,5,571,19.052385719052385,96
trial_lie_014.mp4,success,29.97002997002997,5,450,15.015,70
trial_lie_015.mp4,success,29.97002997002997,5,1052,35.101733333333335,172
trial_lie_016.mp4,success,29.97002997002997,5,1127,37.60423333333333,185
trial_lie_017.mp4,success,29.97002997002997,5,1353,45.1451,220
trial_lie_018.mp4,success,29.97002997002997,5,1044,34.8348,173
trial_lie_019.mp4,success,29.97002997002997,5,1112,37.10373333333333,184
trial_lie_020.mp4,success,29.97002997002997,5,363,12.1121,56
trial_lie_021.mp4,success,29.97002997002997,5,567,18.9189,91
trial_lie_022.mp4,success,29.97002997002997,5,1270,42.37566666666667,208
trial_lie_023.mp4,success,29.97002997002997,5,1345,44.878166666666665,217
trial_lie_024.mp4,success,29.97002997002997,5,762,25.4254,124
trial_lie_025.mp4,success,29.97002997002997,5,903,30.1301,148
trial_lie_026.mp4,success,29.97002997002997,5,867,28.928900000000002,143
trial_lie_027.mp4,success,29.97002997002997,5,826,27.560866666666666,135
trial_lie_028.mp4,success,29.97002997002997,5,755,25.191833333333335,122
trial_lie_029.mp4,success,29.97002997002997,5,641,21.388033333333333,99
trial_lie_030.mp4,success,29.97002997002997,5,1133,37.804433333333336,189
trial_lie_031.mp4,success,29.97002997002997,5,801,26.7267,130
trial_lie_032.mp4,success,25.0,5,699,27.96,140
trial_lie_033.mp4,success,25.0,5,1125,45.0,225
trial_lie_034.mp4,success,25.0,5,750,30.0,150
trial_lie_035.mp4,success,10.0,5,350,35.0,175
trial_lie_036.mp4,success,29.97002997002997,5,1169,39.005633333333336,195
trial_lie_037.mp4,success,27.0,5,702,26.0,141
trial_lie_038.mp4,success,27.0,5,621,23.0,125
trial_lie_039.mp4,success,27.0,5,810,30.0,162
trial_lie_040.mp4,success,27.0,5,648,24.0,130
trial_lie_041.mp4,success,30.0,5,780,26.0,130
trial_lie_042.mp4,success,30.0,5,720,24.0,120
trial_lie_043.mp4,success,30.0,5,422,14.066666666666666,71
trial_lie_044.mp4,success,29.97002997002997,5,270,9.009,45
trial_lie_045.mp4,success,29.97002997002997,5,570,19.019000000000002,95
trial_lie_046.mp4,success,29.97002997002997,5,990,33.033,165
trial_lie_047.mp4,success,29.97002997002997,5,480,16.016000000000002,80
trial_lie_048.mp4,success,29.97002997002997,5,1439,48.014633333333336,240
trial_lie_049.mp4,success,29.97002997002997,5,690,23.023,115
trial_lie_050.mp4,success,30.0,5,750,25.0,125
trial_lie_051.mp4,success,30.0,5,210,7.0,35
trial_lie_052.mp4,success,30.0,5,1440,48.0,240
trial_lie_053.mp4,success,10.0,5,360,36.0,180
trial_lie_054.mp4,success,30.0,5,600,20.0,100
trial_lie_055.mp4,success,30.0,5,960,32.0,160
trial_lie_056.mp4,success,29.97002997002997,5,870,29.029,145
trial_lie_057.mp4,success,29.97002997002997,5,570,19.019000000000002,95
