accuracy,auc,loss,val_accuracy,val_auc,val_loss,learning_rate
0.6833930611610413,0.695356011390686,0.6151308417320251,0.8188405632972717,0.8047088384628296,0.4743742346763611,0.0005000000237487257
0.7383512258529663,0.7464123964309692,0.5630145072937012,0.760869562625885,0.7813746929168701,0.47595569491386414,0.0005000000237487257
0.7431302070617676,0.7241625785827637,0.5785665512084961,0.7898550629615784,0.7796931266784668,0.5557870864868164,0.0005000000237487257
0.7359617948532104,0.702745258808136,0.5811800956726074,0.7753623127937317,0.7764347791671753,0.48361527919769287,0.0005000000237487257
0.7634408473968506,0.7391257286071777,0.5471183657646179,0.8115941882133484,0.7888374924659729,0.4351767897605896,0.0002500000118743628
0.7586618661880493,0.7400900721549988,0.5467840433120728,0.804347813129425,0.7567794919013977,0.4322066307067871,0.0002500000118743628
0.7658303380012512,0.7490474581718445,0.5444228649139404,0.8188405632972717,0.7586714029312134,0.43950355052948,0.0002500000118743628
0.7586618661880493,0.7635884284973145,0.5339193344116211,0.8115941882133484,0.7832667231559753,0.4680958688259125,0.0002500000118743628
0.7622461318969727,0.7553520798683167,0.5316458344459534,0.804347813129425,0.7820053696632385,0.43907541036605835,0.0002500000118743628
0.7694146037101746,0.7593032121658325,0.5263710618019104,0.804347813129425,0.7892579436302185,0.4424187242984772,0.0001250000059371814
0.7729988098144531,0.7720035314559937,0.5169075131416321,0.7971014380455017,0.7625604271888733,0.4541653096675873,0.0001250000059371814
0.7718040347099304,0.7946783304214478,0.5041748285293579,0.782608687877655,0.7542568445205688,0.46786177158355713,0.0001250000059371814
0.7777777910232544,0.7853018641471863,0.5022342205047607,0.782608687877655,0.7576203346252441,0.47435539960861206,6.25000029685907e-05
